id-enccre,headword,text,coordinates,meridian,coordinates_txt,gpt_preds
v1-1013-1,Aix,"*​ Aix, (Géog.)​ ville de Savoye sur le lac de Bourget. Long. 23. 34. lat. 45. 40.","[[""45 40' N 23 34' E""]]",,45 40' N 23 34' E,45 40' N 23 34' E
v1-1013-3,Aix-la-Chapelle,"*​ Aix-la-Chapelle, (Géog.)​ ville d’Allemagne dans le cercle de Westphalie au Duché de Juliers. Long. 23. 55. lat. 51. 55.","[[""51 55' N 23 55' E""]]",,51 55' N 23 55' E,51 55' N 23 55' E
v1-1060-1,Albe,"*​ Albe, (Géog.)​ ville d’Italie dans le Montferrat, sur la rive droite du Tanaro. L. 25. 40. l. 44. 36.","[[""44 36' N 25 40' E""]]",,44 36' N 25 40' E,44 36' N 25 40' E
v1-1063-0,ALBE-ROYALE ou STUL-WEISSEMBOURG,"*​ ALBE-ROYALE ou STUL-WEISSEMBOURG, (Géog.)​ ville de la basse Hongrie sur le Rausiza. Long. 36. lat. 47.",[['47 N 36 E']],,47 N 36 E,47 N 36 E
v1-1071-0,ALBI,"*​ ALBI, (Géog.)​ ville de France, capitale de​ l’Albigeois, dans le haut Languedoc : elle est sur le Tarn. Long. 19. 49. lat. 43. 55. 44.","[['43 55\' 44"" N 19 49\' E']]",,"43 55' 44"" N 19 49' E","43 55' 44"" N 19 49' E"
v1-1096-0,ALCACAR DO SAL,"*​ ALCAÇAR DO SAL, (Géog.)​ ville de Portugal, dans l’Estramadure, sur la riviere de Cadaon. Long. 9. 41. lat. 38. 18.","[[""38 18' N 9 41' E""]]",,38 18' N 9 41' E,38 18' N 9 41' O
v1-1097-0,ALCAÇAR CEGUER,"ALCAÇAR CEGUER, (Géog.)​ ville d’Afrique, au Royaume de Fez, Province d’Habat. Long. 12. lat. 35.",[['35 N 12 E']],,35 N 12 E,35 N 12 O
v1-1103-0,ALCALA DE GUADAIRA,"*​ ALCALA DE GUADAIRA, (Géog.)​ ville d’Espagne, dans l’Andalousie, sur la riviere de Guadaira. Long. 12. 40. lat. 35. 15.","[[""35 15' N 12 40' E""]]",,35 15' N 12 40' E,35 15' N 12 40' E
v1-1110-0,ALCARAZ,"*​ ALCARAZ, (Géog.)​ ville d’Espagne, dans la Manche, sur la Guardamena. Long. 15. 42. lat. 38. 28.","[[""38 28' N 15 42' E""]]",,38 28' N 15 42' E,38 28' N 15 42' E
v1-112-0,ABERDEEN,"*​ ABERDEEN, ville maritime de l’Ecosse septentrionale. Il y a le vieux & le nouvel Aberdéen. Celui-ci est la capitale de la Province de son nom. Long. 16. lat. 57. 23.","[[""57 23' N 16 E""]]",,57 23' N 16 E,57 23' N 16 O
v1-1160-0,ALESSIS,"*​ ALESSIS (Géog.)​ ville d’Albanie dans la Turquie Européenne, proche l’embouchure du Drin. Long. 37. 15. lat. 41. 48.","[[""41 48' N 37 15' E""]]",,41 48' N 37 15' E,41 48' N 37 15' E
