id-enccre,headword,text,coordinates,meridian,coordinates_txt,gpt_preds
v1-1013-0,AIX,"*​ AIX, (Géog.)​ ville de France en Provence, dont elle est la capitale, près de la petite riviere d’Arc. Long. 23d6′34″. lat. 43d31′35″.","[['43 31\' 35"" N 23 6\' 34"" E']]",,"43 31' 35"" N 23 6' 34"" E","43 31' 35"" N 23 6' 34"" E"
v1-1048-0,ALBANO,"*​ ALBANO, (Géog.)​ ville d’Italie sur un lac de même nom, dans la campagne de Rome. Long. 30. 15. lat. 41. 43.","[[""41 43' N 30 15' E""]]",,41 43' N 30 15' E,41 43' N 30 15' E
v1-1064-0,ALBENGUE ou ALBENGUA,"*​ ALBENGUE ou ALBENGUA, (Géog.)​ ville d’Italie dans l’état de Genes. Longit. 25. 45. latit. 44. 4.","[[""44 4' N 25 45' E""]]",,44 4' N 25 45' E,44 4' N 25 45' E
v1-1106-0,ALCAMO,"*​ ALCAMO, (Géog.)​ ville de Sicile, au pié du mont Bonifati. Long. 30. 42. lat. 38. 2.","[[""38 2' N 30 42' E""]]",,38 2' N 30 42' E,38 2' N 30 42' E
v1-113-0,"ABERNETY, ABERBORN","ABERNETY, ABERBORN, ville de l'Ecosse septentrionale au fond du Golphe de Firth, à l'embouchure de l'Ern. Long. 14. 40. lat. 36. 37.","[[""56 37' N 14 40' E""]]",,56 37' N 14 40' E,36 37' N 14 40' O
v1-1145-0,ALENCON,"ALENCON, (Géog.)​ ville de France dans la basse Normandie sur la Sarte, grossie par la Briante. Lon. 17. 45. lat 48. 25.


Le commerce de la Généralité d’Alençon mérite d’être connu. On fait à Alençon des toiles de ce nom : au Pont-audemer & à Bernay, les blancards, qui sont des toiles de lin ; à Bernay, à Lizieux, à Brionne, les brionnes ; à Lizieux, les cretonnes, dont la chaine est chanvre, & la trame est lin ; à Domfront & Vimoutiers, de grosses toiles ; les points de France, appellés velin, à Alençon ; les frocs à Lizieux, à Orbec, à Bernay, à Fervaques, & à Tardoüet ; des serges, des étamines, des crêpons, à Alençon ; des petites serges à Seez ; des serges croisées & des droguets à Verneuil ; des étamines de laine, de laine & soie, & des droguets de fil & laine, à Soüance & à Nogent-le-Rotrou ; des serges fortes & des tremiéres à Escouche ; des serges, des étamines, & des laineries à Laigle, où l’on fabrique aussi des épingles, de même qu’à Conches. Il y a à Conches quincaillerie & dinandrie ; tanneries à Argentan, Vimoutiers, Conches, & Verneuil ; fabrique de sabots, de bois quarrés, de planches & mairain ; engrais de volailles, œufs & beurre ; salpêtre d’Argentan ; verreries & forges, verreries à Nonant, à Tortissambert & à Thimarais ; forges à Chansegrai, Varennes, Carouges, Rannes, Conches, & la Bonne-ville ; mines abondantes dans le pays d’Houlme, & aux environs de Domfront ; chevaux dans les herbages d’Auge, & bestiaux à l’engrais.","[[""48 25' N 17 45' E""]]",,48 25' N 17 45' E,48 25' N 17 45' E
v1-12-0,AACH ou ACH,"*​ AACH ou ACH, s. f. petite ville d’Allemagne dans le cercle de Souabe, près de la source de l’Aach. Long. 26. 57. lat. 47. 55.","[[""47 55' N 26 57' E""]]",,47 55' N 26 57' E,47 55' N 26 57' E
v1-1244-0,"ALLANCHES, ou ALANCHE","*​ ALLANCHES, ou ALANCHE, ville de France en Auvergne, au Duché de Mercœur, généralité de Riom. Long. 20. 40. lat. 45. 12.","[[""45 12' N 20 40' E""]]",,45 12' N 20 40' E,45 12' N 20 40' E
v1-1303-0,ALMANZA,"*​ ALMANZA, ville d’Espagne dans la nouvelle Castille, sur les frontieres du Royaume de Valence. Long, 16. 35. lat. 38. 54.","[[""38 54' N 16 35' E""]]",,38 54' N 16 35' E,38 54' N 16 35' E
v1-1310-0,ALMISSA,"*​ ALMISSA, ville de Dalmatie, à l’embouchure de la Cetina. Long. 36. lat. 43. 50.​","[[""43 50' N 36 E""]]",,43 50' N 36 E,43 50' N 36 E
