id-enccre,headword,text,coordinates,meridian,coordinates_txt,gpt_preds
v1-1052-0,ALBANS,"*​ ALBANS, (Géog.)​ ville d’Angleterre. Long. 17. 10. lat. 51. 40.","[[""51 40' N 17 10' E""]]",,51 40' N 17 10' E,51 40' N 17 10' E
v1-1061-0,ALBE-JULIE ou WEISSEMBOURG,"*​ ALBE-JULIE ou WEISSEMBOURG, (Géog.)​ ville de Transylvanie, près des rivieres d’Ompay & de Mérish. Long. 42. lat. 46. 30.","[[""46 30' N 42 E""]]",,46 30' N 42 E,46 30' N 42 E
v1-1086-0,ALBRET ou LABRIT,"*​ ALBRET ou LABRIT, (Géog.)​ ville de France en Gascogne, au pays d’Albret. Lon. 17. lat. 44. 10.","[[""44 10' N 17 E""]]",,44 10' N 17 E,44 10' N 17 E
v1-1091-0,ALBUQUERQUE,"*​ ALBUQUERQUE, (Géog.)​ ville d’Espagne, dans l’Estramadure. Long. 11. 40. lat. 38. 52.","[[""38 52' N 11 40' E""]]",,38 52' N 11 40' E,38 52' N 11 40' E
v1-1102-0,ALCALA DE HENAREZ,"*​ ALCALA DE HENAREZ, (Géog.)​ ville d’Espagne, dans la nouvelle Castille, sur la riviere de Henarez. Long. 14. 32. lat. 40. 30.","[[""40 30' N 14 32' E""]]",,40 30' N 14 32' E,40 30' N 14 32' E
v1-1109-0,ALCANTARA,"*​ ALCANTARA, (Géog.)​ ville d’Espagne, dans l’Estramadure, sur le Tage. Long. 11. 35. lat. 39. 20. Il y a en Espagne une autre ville nommée Valencia d’Alcantara ; c’est encore le nom d’une contrée de Portugal, à une lieue ou environ au-dessous de Lisbonne.","[[""39 20' N 11 35' E""]]",,39 20' N 11 35' E,39 20' N 11 35' E
v1-1121-0,ALCMAER,"*​ ALCMAER (Géog.)​ ville des Provinces-Unies dans le Kennemerland, partie de la Hollande septentrionale. Long. 22. 10. lat. 52. 28.","[[""52 28' N 22 10' E""]]",,52 28' N 22 10' E,52 28' N 22 10' E
v1-1141-0,ALEGRETTE,"*​ ALEGRETTE, (Géog.)​ ville de Portugal dans l’Alentéjo, sur la riviere Caia & les confins de Port-Alegre. Lon. 11. 10. lat. 39. 6.","[[""39 6' N 11 10' E""]]",,39 6' N 11 10' E,39 6' N 11 10' E
v1-115-0,ABER-YSWITH,"*​ ABER-YSWITH, ville d’Angleterre dans le Casdiganshire, Province de la Principauté de Galles proche de l’embouchure de l’Yswith. Long. 13. 20. lat. 52. 30.","[[""52 30' N 13 20' E""]]",,52 30' N 13 20' E,52 30' N 13 20' E
v1-1191-0,ALGHIER,"*​ ALGHIER, ville d’Italie, sur la côte occidentale de Sardaigne. Long. 26. 15. lat. 40. 33.","[[""40 33' N 26 15' E""]]",,40 33' N 26 15' E,40 33' N 26 15' E
v1-1202-0,ALHAMA,"*​ ALHAMA, ville d’Espagne, au Royaume de Grenade. Long. 14. 20. lat. 36. 50.","[[""36 50' N 14 20' E""]]",,36 50' N 14 20' E,36 50' N 14 20' E
v1-1208-0,ALICATA,"*​ ALICATA, ville de Sicile, dans une espece d’île, près de la mer. Long. 31. 37. lat. 37. 11.","[[""37 11' N 31 37' E""]]",,37 11' N 31 37' E,37 11' N 31 37' E
v1-13-0,AAHUS,"*​ AAHUS, s. petite ville d’Allemagne dans le cercle de Westphalie, capitale de la Comté d’Aahus. Long. 24. 36. lat. 52. 10.","[[""52 10' N 24 36' E""]]",,52 10' N 24 36' E,52 10' N 24 36' E
v1-1365-0,ALTEMBOURG,"*​ ALTEMBOURG, ville de Transylvanie. Long. 40. lat. 46. 34.","[[""46 34' N 40 E""]]",,46 34' N 40 E,46 34' N 40 E
