id-enccre,headword,text,coordinates,meridian,coordinates_txt,gpt_preds
v1-1051-0,ALBANOPOLI,"*​ ALBANOPOLI, (Géog.)​ ville de la Turquie Européenne dans l’Albanie. Long. 38. 4. lat. 51. 48.","[[""51 48' N 38 4' E""]]",,51 48' N 38 4' E,51 48' N 38 4' E
v1-109-0,ABENSPERG,"*​ ABENSPERG, petite ville d’Allemagne dans le cercle & Duché de Baviere. Long. 29. 25. lat. 48. 45.","[[""48 45' N 29 25' E""]]",,48 45' N 29 25' E,48 45' N 29 25' E
v1-1101-0,ALCALA LA REALE,"*​ ALCALA LA REALE, (Géog.)​ ville d’Espagne, dans l’Andalousie, près de la riviere de Salado. Long. 14. 30. lat. 37. 18.","[[""37 18' N 14 30' E""]]",,37 18' N 14 30' E,37 18' N 14 30' E
v1-1159-0,ALESSANA,"*​ ALESSANA, petite ville du Royaume de Naples dans la province d’Otrante. Longit. 36. latit. 40. 12.","[[""40 12' N 36 E""]]",,40 12' N 36 E,40 12' N 36 E
v1-1189-1,Alger,"*​ Alger, ville d’Afrique, dans la Barbarie, capitale du Royaume d’Alger, vis-à-vis l’Isle Minorque. Long. 21. 20. lat. 36. 30.","[[""36 30' N 21 20' E""]]",,36 30' N 21 20' E,36 30' N 21 20' E
v1-1190-0,ALGEZIRE,"*​ ALGEZIRE, ville d’Espagne dans l’Andalousie, avec port sur la côte du detroit de Gibraltar. On l’appelle aussi le vieux Gibraltar. Long. 12. 28. lat. 36.","[[""36 N 12 28' E""]]",,36 N 12 28' E,36 N 12 28' O
v1-1261-0,ALLEGRE ou ALEGRE,"*​ ALLEGRE ou ALEGRE, ville de France en​Auvergne, généralité de Riom, élection de Brioude, au pié d’une montagne au-dessus de laquelle il y a un grand lac. Lon. 21. 22. lat. 45. 10.","[[""45 10' N 21 22' E""]]",,45 10' N 21 22' E,45 10' N 21 22' E
v1-1319-0,ALMUNECAR,"*​ ALMUNECAR, ville d’Espagne au Royaume de Grenade, avec port sur la Mediterranée. Long. 14. 37. lat. 36. 50.","[[""36 50' N 14 37' E""]]",,36 50' N 14 37' E,36 50' N 14 37' E
v1-1362-0,ALTAMURA,"*​ ALTAMURA, ville du Royaume de Naples, dans la terre de Bari, au pié de l’Apennin. Long. 34. 13. lat. 41.","[[""41 N 34 13' E""]]",,41 N 34 13' E,41 N 34 13' E
v1-1413-0,AMADAN,"*​ AMADAN, ville d’Asie, dans la Perse. Long. 65. 25. lat. 35. 15.","[[""35 15' N 65 25' E""]]",,35 15' N 65 25' E,35 15' N 65 25' E
v1-1434-1,Amand (Saint),"*​ Amand (Saint), ville de France dans le Bourbonnois sur le Cher & les confins du Berry. Long. 20. 20. lat. 46. 32.","[[""46 32' N 20 20' E""]]",,46 32' N 20 20' E,46 32' N 20 20' E
v1-1520-0,AMBOINE,"AMBOINE, île d’Asie, l’une des Moluques, aux Indes orientales, avec ville de même nom. Long. 145. lat. mérid. 4.",[['4 S 145 E']],,4 S 145 E,4 S 145 E
v1-1521-0,AMBOISE,"*​ AMBOISE, ville de France, dans la Touraine, au confluant de la Loire & de la Masse. Long. 18d. 39′. 7″. lat. 47d. 24′. 56″.","[['47 24\' 56"" N 18 39\' 7"" E']]",,"47 24' 56"" N 18 39' 7"" E","47 24' 56"" N 18 39' 7"" E"
v1-1554-0,AMELIA,"*​ AMELIA, ville d’Italie, dans le Duché de Spolete. Long. 30 4. lat. 42. 33.","[[""42 33' N 30 4' E""]]",,42 33' N 30 4' E,42 33' N 30 4' E
v1-1629-0,AMOL,"*​ AMOL, ville d’Asie au pays des Usbecs, sur le Gihun. Long. 82. lat. 39. 20.","[[""39 20' N 82 E""]]",,39 20' N 82 E,39 20' N 82 E
